sample_id,file_specimen,donor_id,source_sample_id,cellxgene_suffix,nuclei,genes,peak_features,source_entries,rna_nonzero_entries,total_rna_counts,rna_csr_sha256,annotated_nuclei,shared_count_mismatches,shared_genes_compared,author_gene_ids_not_in_geo
G120_D.3,G120_D_FL,G120,GSM8299716,3,13006,36601,106722,80978723,36727323,95390012,e543cfd917a8d2a991243ad132ae9778b00119ea436bc354341f97af35ecba96,8478,0,35459,"['ENSG00000289549', 'ENSG00000288867', 'ENSG00000288825', 'ENSG00000288859', 'ENSG00000288705', 'ENSG00000288702', 'ENSG00000291237', 'ENSG00000288784', 'ENSG00000289604', 'ENSG00000288701', 'ENSG00000310560', 'ENSG00000288675', 'ENSG00000293546', 'ENSG00000290292', 'ENSG00000288607', 'ENSG00000288642', 'ENSG00000288722', 'ENSG00000288709']"
G120_D.2,G120_D_TL,G120,GSM8299714,2,3248,36601,81226,29930815,12113612,48078400,77e1c5e7da016802d38937f11b304a3cfeb06783b315542d6e0171186bad7627,1607,0,35459,"['ENSG00000289549', 'ENSG00000288867', 'ENSG00000288825', 'ENSG00000288859', 'ENSG00000288705', 'ENSG00000288702', 'ENSG00000291237', 'ENSG00000288784', 'ENSG00000289604', 'ENSG00000288701', 'ENSG00000310560', 'ENSG00000288675', 'ENSG00000293546', 'ENSG00000290292', 'ENSG00000288607', 'ENSG00000288642', 'ENSG00000288722', 'ENSG00000288709']"
G120_N.1,G120_F1_N,G120,GSM8299712,1,1114,36601,57402,9961353,2929405,5656887,754709dc5953c4164e9c564ec3c0d40b1ed7f562e3ffacc70d628880749f6642,739,0,35459,"['ENSG00000289549', 'ENSG00000288867', 'ENSG00000288825', 'ENSG00000288859', 'ENSG00000288705', 'ENSG00000288702', 'ENSG00000291237', 'ENSG00000288784', 'ENSG00000289604', 'ENSG00000288701', 'ENSG00000310560', 'ENSG00000288675', 'ENSG00000293546', 'ENSG00000290292', 'ENSG00000288607', 'ENSG00000288642', 'ENSG00000288722', 'ENSG00000288709']"
G129_D,G129_D,G129,GSM8299732,6,17176,36601,95302,60994557,29312611,48375565,bf762f0c5635092b446f09f0c7cfdd52efd968c1d86ef988a41ecc2a0f8aab61,9141,0,35459,"['ENSG00000289549', 'ENSG00000288867', 'ENSG00000288825', 'ENSG00000288859', 'ENSG00000288705', 'ENSG00000288702', 'ENSG00000291237', 'ENSG00000288784', 'ENSG00000289604', 'ENSG00000288701', 'ENSG00000310560', 'ENSG00000288675', 'ENSG00000293546', 'ENSG00000290292', 'ENSG00000288607', 'ENSG00000288642', 'ENSG00000288722', 'ENSG00000288709']"
G133_D.2,G133_D_FL,G133,GSM8299720,4,12732,36601,90006,73771494,36792081,112704167,d256d9abe362a8aefc97934df6d76a0d6317d0b51b4e750ff6cb7d204298f015,8902,0,35459,"['ENSG00000289549', 'ENSG00000288867', 'ENSG00000288825', 'ENSG00000288859', 'ENSG00000288705', 'ENSG00000288702', 'ENSG00000291237', 'ENSG00000288784', 'ENSG00000289604', 'ENSG00000288701', 'ENSG00000310560', 'ENSG00000288675', 'ENSG00000293546', 'ENSG00000290292', 'ENSG00000288607', 'ENSG00000288642', 'ENSG00000288722', 'ENSG00000288709']"
G133_N.2,G133_N_FL,G133,GSM8299718,5,20000,36601,132343,113622231,52075273,122110128,a5af2e2533c93eab0f37d4aa735e398f4e1296d443b80b682fd77a7387a518aa,13335,0,35459,"['ENSG00000289549', 'ENSG00000288867', 'ENSG00000288825', 'ENSG00000288859', 'ENSG00000288705', 'ENSG00000288702', 'ENSG00000291237', 'ENSG00000288784', 'ENSG00000289604', 'ENSG00000288701', 'ENSG00000310560', 'ENSG00000288675', 'ENSG00000293546', 'ENSG00000290292', 'ENSG00000288607', 'ENSG00000288642', 'ENSG00000288722', 'ENSG00000288709']"
G150_D,G150_D,G150,GSM8299724,7,3068,36601,78369,23594006,2339360,3596008,7bd445bf427112ca64bc39166bc94fa475172f381ac0b1caf7aebbc474e55736,1650,0,35459,"['ENSG00000289549', 'ENSG00000288867', 'ENSG00000288825', 'ENSG00000288859', 'ENSG00000288705', 'ENSG00000288702', 'ENSG00000291237', 'ENSG00000288784', 'ENSG00000289604', 'ENSG00000288701', 'ENSG00000310560', 'ENSG00000288675', 'ENSG00000293546', 'ENSG00000290292', 'ENSG00000288607', 'ENSG00000288642', 'ENSG00000288722', 'ENSG00000288709']"
G159_D,G159_D,G159,GSM8299728,8,8217,36601,57124,26189027,9307429,15225357,fb3b65bc3d63ad791c8ece9e45a9de45d2c463a94f9570fea669d2fd4d6deb2c,4266,0,35459,"['ENSG00000289549', 'ENSG00000288867', 'ENSG00000288825', 'ENSG00000288859', 'ENSG00000288705', 'ENSG00000288702', 'ENSG00000291237', 'ENSG00000288784', 'ENSG00000289604', 'ENSG00000288701', 'ENSG00000310560', 'ENSG00000288675', 'ENSG00000293546', 'ENSG00000290292', 'ENSG00000288607', 'ENSG00000288642', 'ENSG00000288722', 'ENSG00000288709']"
G171_D,G171_D,G171,GSM8299726,9,3318,36601,81105,18256891,2122777,3043289,076b3da8ae317ec5a0abf03a800831e5222dc0c20f3dfcab26df71aa49eb3bb5,1151,0,35459,"['ENSG00000289549', 'ENSG00000288867', 'ENSG00000288825', 'ENSG00000288859', 'ENSG00000288705', 'ENSG00000288702', 'ENSG00000291237', 'ENSG00000288784', 'ENSG00000289604', 'ENSG00000288701', 'ENSG00000310560', 'ENSG00000288675', 'ENSG00000293546', 'ENSG00000290292', 'ENSG00000288607', 'ENSG00000288642', 'ENSG00000288722', 'ENSG00000288709']"
G187_D,G187_D,G187,GSM8299722,10,8950,36601,84959,38682533,3827135,5084170,c08e957e9d10ca9a716d4736fb5c4ab9cf175e37a2e7ef2efd8698f399ce8b7c,2880,0,35459,"['ENSG00000289549', 'ENSG00000288867', 'ENSG00000288825', 'ENSG00000288859', 'ENSG00000288705', 'ENSG00000288702', 'ENSG00000291237', 'ENSG00000288784', 'ENSG00000289604', 'ENSG00000288701', 'ENSG00000310560', 'ENSG00000288675', 'ENSG00000293546', 'ENSG00000290292', 'ENSG00000288607', 'ENSG00000288642', 'ENSG00000288722', 'ENSG00000288709']"
G210_D,G210_D,G210,GSM8299730,11,15461,36601,86176,48174024,18362644,27757500,1a9885fe5cfe4cffa8b1da0e9f262df4553b97a06bbeb63d199861f921ad397a,9376,0,35459,"['ENSG00000289549', 'ENSG00000288867', 'ENSG00000288825', 'ENSG00000288859', 'ENSG00000288705', 'ENSG00000288702', 'ENSG00000291237', 'ENSG00000288784', 'ENSG00000289604', 'ENSG00000288701', 'ENSG00000310560', 'ENSG00000288675', 'ENSG00000293546', 'ENSG00000290292', 'ENSG00000288607', 'ENSG00000288642', 'ENSG00000288722', 'ENSG00000288709']"
