source_sample_id,filename,url,expected_size_bytes
GSM6049632,GSM6049632_Sample1_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6049nnn/GSM6049632/suppl/GSM6049632_Sample1_barcodes.tsv.gz,35229
GSM6049632,GSM6049632_Sample1_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6049nnn/GSM6049632/suppl/GSM6049632_Sample1_features.tsv.gz,310190
GSM6049632,GSM6049632_Sample1_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6049nnn/GSM6049632/suppl/GSM6049632_Sample1_matrix.mtx.gz,37320590
GSM6049633,GSM6049633_Sample2_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6049nnn/GSM6049633/suppl/GSM6049633_Sample2_barcodes.tsv.gz,27244
GSM6049633,GSM6049633_Sample2_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6049nnn/GSM6049633/suppl/GSM6049633_Sample2_features.tsv.gz,310190
GSM6049633,GSM6049633_Sample2_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6049nnn/GSM6049633/suppl/GSM6049633_Sample2_matrix.mtx.gz,37282332
GSM6049634,GSM6049634_Sample3_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6049nnn/GSM6049634/suppl/GSM6049634_Sample3_barcodes.tsv.gz,38012
GSM6049634,GSM6049634_Sample3_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6049nnn/GSM6049634/suppl/GSM6049634_Sample3_features.tsv.gz,310190
GSM6049634,GSM6049634_Sample3_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6049nnn/GSM6049634/suppl/GSM6049634_Sample3_matrix.mtx.gz,60988767
GSM6049635,GSM6049635_Sample4_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6049nnn/GSM6049635/suppl/GSM6049635_Sample4_barcodes.tsv.gz,42960
GSM6049635,GSM6049635_Sample4_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6049nnn/GSM6049635/suppl/GSM6049635_Sample4_features.tsv.gz,310190
GSM6049635,GSM6049635_Sample4_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6049nnn/GSM6049635/suppl/GSM6049635_Sample4_matrix.mtx.gz,53105780
GSM6049636,GSM6049636_Sample5_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6049nnn/GSM6049636/suppl/GSM6049636_Sample5_barcodes.tsv.gz,59085
GSM6049636,GSM6049636_Sample5_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6049nnn/GSM6049636/suppl/GSM6049636_Sample5_features.tsv.gz,310172
GSM6049636,GSM6049636_Sample5_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6049nnn/GSM6049636/suppl/GSM6049636_Sample5_matrix.mtx.gz,76009602
GSM6049637,GSM6049637_Sample6_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6049nnn/GSM6049637/suppl/GSM6049637_Sample6_barcodes.tsv.gz,27454
GSM6049637,GSM6049637_Sample6_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6049nnn/GSM6049637/suppl/GSM6049637_Sample6_features.tsv.gz,310172
GSM6049637,GSM6049637_Sample6_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6049nnn/GSM6049637/suppl/GSM6049637_Sample6_matrix.mtx.gz,28800055
GSM6049638,GSM6049638_Sample7_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6049nnn/GSM6049638/suppl/GSM6049638_Sample7_barcodes.tsv.gz,53645
GSM6049638,GSM6049638_Sample7_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6049nnn/GSM6049638/suppl/GSM6049638_Sample7_features.tsv.gz,310190
GSM6049638,GSM6049638_Sample7_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6049nnn/GSM6049638/suppl/GSM6049638_Sample7_matrix.mtx.gz,69360679
